Book Title,Category,Difficulty,Est. Weeks,Notes,O'Reilly URL,Priority,Reading Order,Status
Head First Software Architecture,Software Architecture,🟢 Beginner,3,Beginner-friendly architecture introduction. Visual learning style.,https://learning.oreilly.com/api/v1/continue/9781098134341/,⭐ High,8,📋 Not Started
Clean Architecture: A Craftsman's Guide to Software Structure and Design,Software Architecture,🟡 Intermediate,2,Essential foundation for software architecture. Start here.,https://learning.oreilly.com/api/v1/continue/9780134494272/,🔥 Critical,1,📋 Not Started
"The Pragmatic Programmer: your journey to mastery, 20th Anniversary Edition, 2nd Edition",General Engineering,🟢 Beginner,2,Timeless software development wisdom. Must-read for all developers.,https://learning.oreilly.com/api/v1/continue/9780135956977/,🔥 Critical,3,📋 Not Started
Working Effectively with Legacy Code,Testing & Quality,🟡 Intermediate,2,Critical for working with existing codebases. Practical strategies.,https://learning.oreilly.com/api/v1/continue/0131177052/,⭐ High,7,📋 Not Started
"Head First Design Patterns, 2nd Edition",Design Patterns & Principles,🟢 Beginner,3,"Visual, engaging introduction to design patterns. Great for beginners.",https://learning.oreilly.com/api/v1/continue/9781492077992/,🔥 Critical,2,📋 Not Started
"Code Complete, 2nd Edition",General Engineering,🟡 Intermediate,4,Comprehensive guide to software construction. Dense but valuable.,https://learning.oreilly.com/api/v1/continue/0735619670/,🔥 Critical,4,📋 Not Started
Software Engineering at Google,General Engineering,🟡 Intermediate,3,Insights into engineering practices at scale. Real-world examples.,https://learning.oreilly.com/api/v1/continue/9781492082781/,⭐ High,5,📋 Not Started
Refactoring: Improving the Design of Existing Code,Design Patterns & Principles,🟡 Intermediate,3,Essential refactoring techniques. Reference-style book.,https://learning.oreilly.com/api/v1/continue/9780134757681/,⭐ High,6,📋 Not Started
Modern Software Engineering: Doing What Works to Build Better Software Faster,General Engineering,🟡 Intermediate,2,Modern approaches to software development. Practical and opinionated.,https://learning.oreilly.com/api/v1/continue/9780137314942/,⭐ High,10,📋 Not Started
Fundamentals of Software Architecture,Software Architecture,🟡 Intermediate,3,Comprehensive architecture fundamentals. Core reading for architects.,https://learning.oreilly.com/api/v1/continue/9781492043447/,⭐ High,9,📋 Not Started
Tidy First?,Design Patterns & Principles,🟢 Beginner,1,Quick read on incremental refactoring. Practical advice from Kent Beck.,https://learning.oreilly.com/api/v1/continue/9781098151232/,📌 Medium,13,📋 Not Started
The Effective Software Engineer,General Engineering,🟡 Intermediate,2,Career and effectiveness tips. Complements technical skills.,https://learning.oreilly.com/api/v1/continue/9798341638167/,⭐ High,15,📋 Not Started
